START,END,SEGMENT
0,21,CAT-30
21,25,CAT-29
25,30,CAT-28
30,35,CAT-27
35,40,CAT-26
40,50,CAT-25
50,60,CAT-24
60,75,CAT-23
75,90,CAT-22
90,110,CAT-21
110,130,CAT-20
130,150,CAT-19
150,180,CAT-18
180,220,CAT-17
220,270,CAT-16
270,330,CAT-15
330,400,CAT-14
400,500,CAT-13
500,700,CAT-12
700,900,CAT-11
900,1200,CAT-10
1200,1600,CAT-09
1600,2100,CAT-08
2100,2800,CAT-07
2800,4000,CAT-06
4000,6000,CAT-05
6000,8000,CAT-04
8000,13000,CAT-03
13000,25000,CAT-02
25000,50000,CAT-01
50000,5000000,CAT-00